,image,entropy1,entropy2
0,canadaojp_2016_05_01_002959.jpg,0.969625641660478,0.9875379537141218
1,canadaojp_2016_05_01_005959.jpg,0.9809510643341812,0.9954367422560282
2,canadaojp_2016_05_01_012959.jpg,0.9651736825775403,0.9845338415834546
3,canadaojp_2016_05_01_015959.jpg,0.9781209147598964,0.9937751290420165
4,canadaojp_2016_05_01_022959.jpg,0.9847550145322297,0.9973076195750452
5,canadaojp_2016_05_01_025959.jpg,0.9742393142864008,0.991333577232085
6,canadaojp_2016_05_01_032959.jpg,0.9869096572651876,0.9875249199872546
7,canadaojp_2016_05_01_035958.jpg,0.9710819499020287,0.9877842890451691
8,canadaojp_2016_05_01_042959.jpg,0.9072280318873464,0.993649938251202
9,canadaojp_2016_05_01_045959.jpg,0.4538386128613709,0.9954043583275936
10,canadaojp_2016_05_01_052959.jpg,0.44698577422452734,0.9334869168411404
11,canadaojp_2016_05_01_055959.jpg,0.44288632549387774,0.9385190688372854
12,canadaojp_2016_05_01_062959.jpg,0.4448975442423307,0.9333470183127671
13,canadaojp_2016_05_01_065959.jpg,0.4469753502393202,0.9390773693645637
14,canadaojp_2016_05_01_072959.jpg,0.4552496708145717,0.9747250410871908
15,canadaojp_2016_05_01_075959.jpg,0.48153362703087316,0.9997297620283838
16,canadaojp_2016_05_01_082959.jpg,0.4805857985263572,0.9999280218949669
17,canadaojp_2016_05_01_085959.jpg,0.4660111118266359,0.9995077812400431
18,canadaojp_2016_05_01_092959.jpg,0.44815217239669936,0.9603586203173509
19,canadaojp_2016_05_01_095959.jpg,0.46623357080652916,0.997012909237951
20,canadaojp_2016_05_01_102958.jpg,0.48526155875536603,0.9951158724375102
21,canadaojp_2016_05_01_105959.jpg,0.4417942357508704,0.9822919780625896
22,canadaojp_2016_05_01_112959.jpg,0.5288005495039249,0.9803182358723886
23,canadaojp_2016_05_01_115959.jpg,0.5386773458071002,0.9728495787748285
24,canadaojp_2016_05_01_122959.jpg,0.5792700549512142,0.9718632249571841
25,canadaojp_2016_05_01_125959.jpg,0.5630142902953338,0.9846836312578755
26,canadaojp_2016_05_01_132959.jpg,0.5255669791409532,0.9909569684577062
27,canadaojp_2016_05_01_135959.jpg,0.5318442465260977,0.9735240542803316
28,canadaojp_2016_05_01_142959.jpg,0.4992923233337224,0.9754671175530167
29,canadaojp_2016_05_01_145959.jpg,0.44730883240282526,0.9752175913552762
30,canadaojp_2016_05_01_152959.jpg,0.5210126861441946,0.9852848730975001
31,canadaojp_2016_05_01_155959.jpg,0.4734008606698359,0.9903483199175249
32,canadaojp_2016_05_01_162959.jpg,0.4893571137278814,0.9957845458909368
33,canadaojp_2016_05_01_165958.jpg,0.48788425785984657,0.999253614123521
34,canadaojp_2016_05_01_172959.jpg,0.4780611145286695,0.9989658943066526
35,canadaojp_2016_05_01_175959.jpg,0.44208844565786026,0.9994854703686982
36,canadaojp_2016_05_01_182959.jpg,0.7249937077965714,0.9917563052371152
37,canadaojp_2016_05_01_185959.jpg,0.458952785811093,0.9994533436907285
38,canadaojp_2016_05_01_192959.jpg,0.45260004794045033,0.9874611006221514
39,canadaojp_2016_05_01_195959.jpg,0.4603932569563304,0.9989128907640012
