# Site: canadaOBS
# Categories:
# 0. too dark
# 1. no snow
# 2. snow
timestamp,label
2011-07-11 10:01:33,no snow
2011-07-18 20:03:01,no snow
2011-08-01 16:31:32,no snow
2011-08-06 11:31:38,no snow
2011-08-30 04:31:29,too dark
2011-09-11 10:01:29,no snow
2011-09-11 11:31:30,no snow
2011-09-28 05:31:22,too dark
2011-09-29 05:31:19,too dark
2011-10-06 18:01:33,no snow
2011-10-10 10:31:27,no snow
2011-10-15 21:31:20,too dark
2011-10-25 21:01:20,too dark
2011-11-07 12:31:28,no snow
2011-11-29 21:01:19,too dark
2011-12-22 20:01:21,too dark
2012-01-01 13:31:28,snow
2012-01-21 07:31:19,too dark
2012-02-06 09:31:27,snow
2012-02-26 08:31:23,snow
2012-02-29 17:03:01,no snow
2012-03-08 21:31:20,too dark
2012-03-13 15:31:25,snow
2012-04-06 21:01:23,too dark
2012-04-09 09:31:28,no snow
2012-04-25 15:31:25,no snow
2012-04-27 22:31:19,too dark
2012-05-01 22:31:20,too dark
2012-05-05 07:01:23,no snow
2012-05-08 09:31:34,no snow
2012-05-13 19:01:23,no snow
2012-06-03 14:31:22,no snow
2012-07-08 04:31:21,no snow
2012-08-15 15:01:21,no snow
2012-08-28 21:01:20,too dark
2012-09-08 21:31:20,too dark
2012-09-11 05:31:21,too dark
2012-10-04 14:01:22,no snow
2012-10-15 06:31:21,too dark
2012-10-22 06:31:19,too dark
2012-11-28 06:01:21,too dark
2012-12-05 04:31:20,too dark
2012-12-09 22:31:21,too dark
2012-12-23 09:03:01,snow
2013-01-02 10:31:26,snow
2013-01-12 05:01:22,too dark
2013-01-14 05:03:01,too dark
2013-01-25 06:31:19,too dark
2013-01-27 17:01:25,no snow
2013-02-11 17:31:27,snow
2013-03-02 19:01:22,too dark
2013-03-16 19:31:19,too dark
2013-03-25 11:31:31,snow
2013-04-11 10:31:46,snow
2013-04-14 11:01:36,snow
2013-04-18 13:31:49,snow
2013-06-14 21:01:37,no snow
2013-07-06 22:01:28,too dark
2013-07-11 05:03:02,no snow
2013-08-04 22:31:26,too dark
2013-08-06 05:01:34,too dark
2013-08-15 08:31:34,no snow
2013-08-17 10:01:48,no snow
2013-09-02 07:33:02,no snow
2013-09-05 04:31:29,too dark
2013-09-21 13:32:29,no snow
2013-09-26 18:02:15,no snow
2013-10-12 10:31:35,no snow
2013-10-17 08:31:38,no snow
2013-10-30 12:02:57,no snow
2013-12-01 15:01:38,snow
2013-12-07 07:31:25,too dark
2013-12-11 18:31:22,too dark
2013-12-27 09:01:46,snow
2014-01-03 18:01:26,too dark
2014-01-20 20:01:25,too dark
2014-01-25 04:33:01,too dark
2014-01-28 16:31:31,snow
2014-02-03 07:01:24,too dark
2014-02-05 06:01:34,too dark
2014-02-11 22:31:25,too dark
2014-02-21 19:01:23,too dark
2014-03-06 20:01:27,too dark
2014-04-03 05:31:22,too dark
2014-04-11 22:31:21,too dark
2014-04-27 14:31:32,snow
2014-05-01 09:31:33,snow
2014-05-09 19:31:29,no snow
2014-05-10 21:01:26,no snow
2014-05-15 18:01:31,no snow
2014-05-17 15:31:32,no snow
2014-05-22 13:32:12,no snow
2014-06-01 13:01:32,no snow
2014-06-13 10:31:33,no snow
2014-06-19 10:31:41,no snow
2014-08-21 11:31:29,no snow
2014-09-28 14:01:36,no snow
2014-09-29 17:01:31,no snow
2014-11-07 11:01:32,snow
2014-11-16 16:31:37,snow
2014-11-20 07:01:23,too dark
2014-12-11 21:01:23,too dark
2014-12-21 12:01:32,snow
2014-12-28 17:01:43,snow
2014-12-30 17:31:24,too dark
2015-01-19 07:31:24,too dark
2015-01-20 08:31:29,too dark
2015-01-25 06:01:22,too dark
2015-02-07 20:01:26,too dark
2015-02-09 20:01:23,too dark
2015-02-11 16:01:34,snow
2015-03-02 12:31:28,snow
2015-03-04 10:31:32,snow
2015-03-15 15:03:02,no snow
2015-03-17 04:01:23,too dark
2015-03-30 13:01:32,snow
2015-04-09 12:31:30,snow
2015-05-02 06:01:28,no snow
2015-05-11 08:31:39,no snow
2015-05-27 07:31:28,no snow
2015-05-28 08:01:24,no snow
2015-05-30 22:31:23,too dark
2015-06-19 04:01:27,too dark
2015-06-25 21:01:26,no snow
2015-07-09 17:01:30,no snow
2015-07-16 04:01:25,too dark
2015-08-08 06:31:39,no snow
2015-08-09 05:01:25,too dark
2015-08-10 04:31:23,too dark
2015-08-10 18:31:54,no snow
2015-08-16 07:31:28,no snow
2015-08-28 19:31:42,no snow
2015-08-30 22:31:23,too dark
2015-08-31 18:01:27,no snow
2015-09-19 16:01:31,no snow
2015-09-19 22:01:30,too dark
2015-09-23 13:31:32,no snow
2015-10-07 22:31:34,too dark
2015-10-22 17:01:33,no snow
2015-11-05 20:01:35,too dark
2015-11-06 04:01:29,too dark
2015-11-06 09:31:35,no snow
2015-12-19 21:31:25,too dark
2016-01-02 05:31:24,too dark
2016-01-03 15:03:03,snow
2016-01-25 22:01:33,too dark
2016-02-03 09:32:35,snow
2016-02-03 10:01:40,snow
2016-02-14 15:03:02,snow
2016-02-24 18:02:04,snow
2016-02-29 22:31:51,too dark
2016-03-01 15:31:51,snow
2016-03-09 13:31:36,snow
2016-03-11 12:01:46,snow
2016-03-11 17:31:56,no snow
2016-03-14 22:01:50,too dark
2016-03-16 12:31:52,snow
2016-03-17 09:31:34,snow
2016-03-23 07:01:36,snow
2016-03-28 20:01:25,too dark
2016-04-11 14:33:02,snow
2016-04-15 14:02:19,snow
2016-05-04 06:31:46,no snow
2016-05-31 09:03:01,no snow
2016-06-02 17:01:36,no snow
2016-06-03 20:01:55,no snow
2016-06-04 20:01:46,no snow
2016-06-04 21:32:10,no snow
2016-06-14 05:31:28,no snow
2016-06-17 05:01:28,no snow
2016-06-22 15:02:00,no snow
2016-06-22 17:31:41,no snow
2016-06-22 19:31:29,no snow
2016-07-10 11:31:52,no snow
2016-07-20 22:01:33,too dark
2016-07-29 14:31:42,no snow
2016-08-05 21:02:23,no snow
2016-09-07 20:01:48,too dark
2016-09-23 10:31:54,no snow
2016-10-01 10:31:50,no snow
2016-11-13 13:31:50,no snow
2017-01-24 05:31:40,too dark
2017-01-26 12:32:14,snow
2017-01-29 09:01:28,snow
2017-01-31 06:31:32,too dark
2017-01-31 19:01:26,too dark
2017-02-07 17:01:27,snow
2017-02-08 21:01:50,too dark
2017-02-13 13:31:42,no snow
2017-02-15 20:01:28,too dark
2017-02-17 12:01:31,no snow
2017-02-20 16:01:09,snow
2017-02-24 16:03:01,no snow
